gene_id,log2FoldChange,log2CPM,PValue,FDR,up_down
ATP2A1,1.588330913,1.053859367,4.62E-12,4.09E-11,Up
CHST1,1.492033228,2.684043813,4.62E-12,4.09E-11,Up
CNN1,-2.408327057,8.713339399,4.63E-12,4.10E-11,Down
GNA15,-1.396006465,3.660977642,4.65E-12,4.11E-11,Down
HAGHL,1.79066104,2.913907631,4.72E-12,4.17E-11,Up
F11,-2.516652133,-0.750928419,4.75E-12,4.20E-11,Down
DZIP1,-1.310808825,3.437914004,4.76E-12,4.20E-11,Down
RAB15,1.52049136,5.441998047,4.80E-12,4.23E-11,Up
PDXP,-1.164605569,1.653390031,4.93E-12,4.34E-11,Down
GPR17,-1.779943406,0.089511768,4.93E-12,4.34E-11,Down
EAF2,-1.010671392,2.090798385,4.96E-12,4.36E-11,Down
C14orf105,4.60937941,1.845369085,5.16E-12,4.53E-11,Up
HENMT1,1.422919774,3.539958895,5.17E-12,4.53E-11,Up
MC2R,4.05740331,-2.986414185,5.21E-12,4.57E-11,Up
GLP2R,-1.85512056,1.417845206,5.38E-12,4.71E-11,Down
RRM2,1.438898652,6.589322882,5.38E-12,4.71E-11,Up
CXCL12,-1.474115056,5.760121545,5.45E-12,4.77E-11,Down
AADAC,-2.204987169,3.92297109,5.66E-12,4.95E-11,Down
NACC2,-1.077638704,5.934356577,5.74E-12,5.01E-11,Down
CLCA2,-3.34071848,4.212973653,5.78E-12,5.04E-11,Down
WDR72,3.365800434,4.822692029,5.83E-12,5.08E-11,Up
EMP3,-1.157168978,5.166241817,5.89E-12,5.13E-11,Down
SRPX,-1.59035562,3.717167002,5.89E-12,5.13E-11,Down
SPOCD1,1.734974818,1.715724478,6.05E-12,5.26E-11,Up
VAV2,1.01620467,6.220445143,6.12E-12,5.31E-11,Up
CDKN3,1.414451826,4.111709774,6.28E-12,5.45E-11,Up
NUP62CL,1.932928565,1.86564476,6.33E-12,5.49E-11,Up
SMIM6,-1.610178506,2.819692998,6.35E-12,5.50E-11,Down
ZNF135,-1.376255617,1.266068001,6.47E-12,5.60E-11,Down
FAM111B,1.488984394,4.15659497,6.64E-12,5.73E-11,Up
FBXO41,1.420012072,4.295924552,6.68E-12,5.77E-11,Up
LYAR,1.039582515,4.808757442,7.00E-12,6.03E-11,Up
SMARCD3,-1.157756018,3.450804051,7.00E-12,6.03E-11,Down
CYP19A1,2.622060757,0.059182818,7.16E-12,6.16E-11,Up
RYR2,-1.845455375,3.588555524,7.18E-12,6.17E-11,Down
PPM1L,-1.082681263,5.254731882,7.20E-12,6.19E-11,Down
MASP1,-1.756278619,1.622263592,7.37E-12,6.33E-11,Down
PPAPDC3,-1.372460084,1.448324051,7.39E-12,6.33E-11,Down
NUDT10,-1.828963459,-0.591059389,7.42E-12,6.35E-11,Down
CLCN5,1.189506377,4.727287339,7.49E-12,6.41E-11,Up
JAM3,-1.404833478,4.1726531,7.50E-12,6.42E-11,Down
ADAMTSL4,-1.320017753,4.483765234,7.59E-12,6.48E-11,Down
CXCL1,2.739109035,6.327921366,7.66E-12,6.54E-11,Up
FAM127C,-1.161660336,3.60632185,7.75E-12,6.61E-11,Down
EIF4EBP3,-1.232898642,-0.513986381,7.78E-12,6.64E-11,Down
LIPG,1.881225539,5.092124092,7.85E-12,6.69E-11,Up
ILDR1,1.628876115,3.555943941,7.86E-12,6.69E-11,Up
ST6GAL2,-1.865624735,1.262804148,7.89E-12,6.71E-11,Down
PRAP1,-2.235493819,0.449593648,8.10E-12,6.88E-11,Down
SLC12A7,1.155936198,7.472982343,8.17E-12,6.94E-11,Up
APOC1,2.424672719,4.909807541,8.36E-12,7.10E-11,Up
SLC16A7,-1.433880524,4.07431094,8.78E-12,7.44E-11,Down
SP8,5.167910148,0.251734539,8.99E-12,7.60E-11,Up
CAND2,-1.639309736,2.605431482,9.38E-12,7.92E-11,Down
DMRTA1,-1.995495987,1.01859992,9.64E-12,8.13E-11,Down
SPAG17,-2.173538881,0.976687939,9.64E-12,8.13E-11,Down
SH3GL3,-2.510129659,-1.447600748,9.67E-12,8.15E-11,Down
SPARC,1.475720462,9.927441992,9.77E-12,8.22E-11,Up
HAVCR1,4.519866237,1.350764059,9.79E-12,8.24E-11,Up
SCNN1G,-2.693271314,1.273776236,9.89E-12,8.31E-11,Down
FBXO43,1.859603007,-0.651557598,9.93E-12,8.35E-11,Up
MYOCD,-1.988763929,4.649017927,9.96E-12,8.37E-11,Down
MID2,-1.238050112,4.252864418,9.97E-12,8.37E-11,Down
TERT,3.224793194,1.506421795,1.00E-11,8.41E-11,Up
NEIL3,1.42806066,1.890759974,1.03E-11,8.66E-11,Up
FOXH1,3.722012789,0.465071268,1.04E-11,8.69E-11,Up
MAGEA3,8.752849546,3.778747296,1.04E-11,8.69E-11,Up
RNF207,1.355054486,3.951404728,1.07E-11,8.95E-11,Up
RP11-315D16.2,1.068864551,0.650413489,1.07E-11,8.96E-11,Up
CNKSR2,-2.060691639,1.544286769,1.10E-11,9.18E-11,Down
SYNGR1,-1.558149061,3.848638898,1.13E-11,9.40E-11,Down
AFF3,-1.73384462,2.977027799,1.14E-11,9.47E-11,Down
MYO7A,1.421451388,3.952154028,1.15E-11,9.57E-11,Up
TXLNB,-1.475787899,0.73522084,1.18E-11,9.76E-11,Down
SDPR,-1.530067542,4.540958308,1.18E-11,9.79E-11,Down
LOXL2,1.305567842,6.057730248,1.19E-11,9.84E-11,Up
CAPN9,-2.205251537,3.447317128,1.22E-11,1.01E-10,Down
ASF1B,1.319386227,5.027238719,1.23E-11,1.02E-10,Up
FCHO1,1.529640583,4.206300437,1.24E-11,1.02E-10,Up
ABHD11,1.246069637,5.683890979,1.26E-11,1.04E-10,Up
ELFN2,3.458725441,2.150858839,1.27E-11,1.05E-10,Up
TMEM47,-1.299499261,5.296879323,1.31E-11,1.08E-10,Down
IRX4,-3.01747642,-0.208221236,1.31E-11,1.08E-10,Down
HSPB2,-1.778669957,-3.007411207,1.32E-11,1.08E-10,Down
CENPH,1.110973091,3.150200635,1.33E-11,1.09E-10,Up
RDM1,1.71194577,0.564090737,1.33E-11,1.09E-10,Up
NUDT7,-1.02220987,0.222165838,1.34E-11,1.10E-10,Down
FMO2,-1.877467254,4.030927413,1.38E-11,1.14E-10,Down
PIK3AP1,1.443939357,5.73322621,1.39E-11,1.14E-10,Up
COX6B2,3.009640823,0.801204559,1.41E-11,1.16E-10,Up
ARHGEF39,1.353696189,3.744997985,1.43E-11,1.17E-10,Up
TSACC,1.345004255,-0.142354822,1.43E-11,1.17E-10,Up
RRAD,-1.660502502,3.308964558,1.47E-11,1.20E-10,Down
TRIB3,2.126320556,5.05713309,1.49E-11,1.21E-10,Up
SOX21,-2.568220878,3.636008864,1.50E-11,1.22E-10,Down
SLC39A2,-2.932169596,-0.538227903,1.50E-11,1.23E-10,Down
C8G,-2.2068728,2.576208785,1.51E-11,1.23E-10,Down
GPRC5A,1.860087996,9.29074084,1.51E-11,1.23E-10,Up
COL22A1,2.912693503,3.027062569,1.53E-11,1.24E-10,Up
WFDC1,-1.378614766,4.035611892,1.53E-11,1.25E-10,Down
